"";"v1";"v2";"v3";"v4";"v5";"v6";"v7";"v8";"v9";"v10";"v11";"v12";"v13";"v14";"v15";"v16";"v17";"classLabel";"predict"
"1";"b";32,33;0,00075;"u";0,840107307;0,544982291;1,585;"t";"f";0;"t";"s";420;0;4200000;NA;1;"no.";"yes."
"2";"b";23,58;0,000179;"u";-4,174395711;0,864361709;0,54;"f";"f";0;"t";"g";136;1;1360000;NA;0;"no.";"yes."
"3";"b";36,42;0,000075;"y";2,23222567;0,627475551;0,585;"f";"f";0;"f";"g";240;3;2400000;NA;1;"no.";"no."
"4";"b";18,42;0,0010415;"y";-2,469969629;0,846741022;0,125;"t";"f";0;"f";"g";120;375;1200000;NA;0;"no.";"yes."
"5";"b";24,5;0,0013335;"y";-3,149422333;0,321087006;0,04;"f";"f";0;"t";"g";120;475;1200000;"f";1;"no.";"no."
"6";"a";39,08;0,0004;"u";-0,503893639;0,799051454;3;"f";"f";0;"f";"g";480;0;4800000;"f";0;"no.";"yes."
"7";"b";23,42;0,0001;"u";-2,810378929;0,73844739;0,5;"f";"f";0;"t";"s";280;0;2800000;NA;1;"no.";"no."
"8";"b";29,58;0,000475;"u";-3,487245305;0,473373749;2;"f";"t";1;"t";"g";460;68;4600000;"t";0;"no.";"no."
"9";"b";27,42;0,00125;"u";1,208498753;0,677835585;0,25;"f";"f";0;"t";"g";720;0;7200000;"f";1;"no.";"no."
"10";"b";58,58;0,000271;"u";2,338491785;0,315189255;2,415;"f";"f";0;"t";"g";320;0;3200000;NA;0;"no.";"no."
"11";"b";19,5;0,0009585;"u";0,407856831;0,909640269;0,79;"f";"f";0;"f";"g";80;350;800000;"f";1;"no.";"yes."
"12";"b";44,25;0,0011;"y";-4,950165048;0,764423751;1,5;"t";"f";0;"f";"s";0;0;0;NA;0;"no.";"yes."
"13";"a";33,08;0,0001625;"u";4,018096044;0,782797817;0,54;"f";"f";0;"t";"g";0;0;0;NA;1;"no.";"no."
"14";"b";40,58;0,000329;"u";-1,830413523;0,634347855;3,5;"f";"f";0;"t";"s";400;0;4000000;NA;0;"no.";"no."
"15";"b";38,25;0,0010125;"y";-1,337848369;0,301993608;0,125;"f";"f";0;"f";"g";160;0;1600000;"f";1;"no.";"no."
"16";"a";16,08;0,0000335;"u";1,231655392;0,690891067;0;"f";"t";1;"f";"g";160;126;1600000;"t";0;"no.";"no."
"17";"b";26,75;0,0002;"u";1,025380832;0,440071835;0,75;"f";"f";0;"t";"g";80;0;800000;"f";1;"no.";"no."
"18";"b";29,42;0,000125;"u";-4,245668827;0,827590463;1,75;"f";"f";0;"f";"g";200;0;2000000;NA;0;"no.";"yes."
"19";"a";16,33;0,000021;"u";2,936522146;0,78376394;0,125;"f";"f";0;"f";"g";200;1;2000000;"f";1;"no.";"no."
"20";"a";21,75;0,001175;"u";2,187779432;0,135828393;0,25;"f";"f";0;"t";"g";180;0;1800000;NA;0;"no.";"no."
"21";"b";21,67;0,0001165;"y";-1,328047477;0,779057719;2,5;"t";"t";1;"f";"g";180;20;1800000;NA;1;"no.";"yes."
"22";"b";23,25;0,0012625;"u";-4,606342972;0,702653606;0,125;"f";"t";2;"f";"g";0;5552;0;"t";0;"no.";"no."
"23";"b";37,17;0,0004;"u";-4,893273232;0,484811589;5;"t";"f";0;"t";"s";280;0;2800000;"f";1;"no.";"no."
"24";"a";28,5;0,0001;"u";-1,288237509;0,688418546;1;"t";"t";2;"t";"g";167;500;1670000;"t";0;"no.";"yes."
"25";"b";54,83;0,00155;"u";-1,56994821;0,632816544;0;"t";"t";20;"f";"g";152;130;1520000;NA;1;"no.";"yes."
"26";"a";24,5;0,000104;"y";-1,630561349;0,234630679;0,5;"t";"t";3;"f";"g";180;147;1800000;"t";0;"no.";"yes."
"27";"b";18,83;0;"u";4,265215625;0,591711975;0,665;"f";"f";0;"f";"g";160;1;1600000;"f";1;"no.";"no."
"28";"b";34,42;0,0001335;"u";4,517811693;0,525066159;0,125;"f";"f";0;"t";"g";440;4500;4400000;NA;0;"no.";"no."
"29";"b";35;0,00025;"u";1,495141385;0,836011129;1;"f";"f";0;"t";"g";210;0;2100000;NA;1;"no.";"yes."
"30";"b";31,08;0,00015;"y";-2,171415885;0,466305344;0,04;"f";"f";0;"f";"s";160;0;1600000;NA;0;"no.";"no."
"31";"b";31,58;0,000075;"y";0,147412266;0,710558889;3,5;"f";"f";0;"t";"g";320;0;3200000;"f";1;"no.";"yes."
"32";"b";59,5;0,000275;"u";-1,761342951;0,612826207;1,75;"t";"t";5;"t";"g";60;58;600000;NA;0;"yes.";"yes."
"33";"b";24,42;0,0012335;"u";2,717951934;1,108456308;1,585;"t";"f";0;"t";"g";120;0;1200000;"f";1;"yes.";"yes."
"34";"b";51,58;0,0015;"u";4,464409275;0,896311109;8,5;"t";"t";9;"f";"g";0;0;0;NA;0;"yes.";"yes."
"35";"a";19,67;0,000021;"u";-0,255457028;0,811546058;0,29;"t";"t";11;"f";"g";80;99;800000;"t";1;"yes.";"yes."
"36";"b";36,33;0,0002125;"y";-4,594261004;0,918622592;0,085;"t";"t";1;"f";"g";50;1187;500000;NA;0;"yes.";"yes."
"37";"b";25;0,001125;"u";1,46071536;0,805001498;2,5;"t";"t";17;"f";"g";200;1208;2000000;NA;1;"yes.";"yes."
"38";"b";36,67;0,0004415;"y";1,263686109;0,822303891;0,25;"t";"t";10;"t";"g";320;0;3200000;"t";0;"yes.";"yes."
"39";"a";22,42;0,001125;"y";-4,502065189;0,485784237;0,75;"t";"t";4;"f";"g";0;321;0;NA;1;"yes.";"yes."
"40";"a";58,67;0,000446;"u";-2,387241488;0,896426581;3,04;"t";"t";6;"f";"g";43;560;430000;NA;0;"yes.";"yes."
"41";"b";16,17;0,000004;"u";3,703632257;0,818505863;0,04;"f";"f";0;"f";"g";0;0;0;NA;1;"yes.";"yes."
"42";"b";32,25;0,0000165;"y";0,146505244;0,855730156;3,25;"t";"t";1;"t";"g";432;8000;4320000;NA;0;"yes.";"yes."
"43";"a";18,42;0,000925;"u";-4,801864554;0,94359754;1,21;"t";"t";4;"f";"g";60;540;600000;NA;1;"yes.";"yes."
"44";"a";58,33;0,001;"u";-3,662465676;0,841315604;4;"t";"t";14;"f";"g";0;1602;0;NA;0;"yes.";"yes."
"45";"b";51,42;0,000004;"u";4,712603332;0,863150929;0,04;"t";"f";0;"f";"g";0;3000;0;NA;1;"yes.";"yes."
"46";"b";22,58;0,001004;"u";-2,169440798;0,488368083;0,04;"t";"t";9;"f";"g";60;396;600000;NA;0;"yes.";"yes."
"47";"a";31,25;0,000375;"u";0,325052657;0,964104576;0,625;"t";"t";9;"t";"g";181;0;1810000;"t";1;"yes.";"yes."
"48";"b";39,17;0,000171;"u";-1,309140441;0,830072747;0,125;"t";"t";5;"t";"g";480;0;4800000;NA;0;"yes.";"yes."
"49";"b";48,08;0,000604;"u";-1,234004998;0,918268273;0,04;"f";"f";0;"f";"g";0;2690;0;NA;1;"yes.";"no."
"50";"b";27,25;0,0001585;"u";-4,589272586;0,606454071;1,835;"t";"t";12;"t";"g";583;713;5830000;NA;0;"yes.";"yes."
"51";"b";33,17;0,0003165;"y";-4,931142046;0,661308547;3,165;"t";"t";3;"t";"g";380;0;3800000;"t";1;"yes.";"yes."
"52";"b";44;0,0002;"u";3,173307688;0,76852895;1,75;"t";"t";2;"t";"g";0;15;0;NA;0;"yes.";"yes."
"53";"a";68,67;0,0015;"u";-1,091277269;1,002552921;0;"t";"t";14;"f";"g";0;3376;0;NA;1;"yes.";"yes."
"54";"a";18,83;0,00095;"u";2,724827852;0,830355352;1,625;"t";"t";6;"t";"g";40;600;400000;NA;0;"yes.";"yes."
